#                      z                      J_c                      J_i
2.749999999999982236e+01 8.060543743750449124e-04 3.034340628821471301e-04
2.739999999999982094e+01 8.691890380610704922e-04 3.254625255872367596e-04
2.729999999999981952e+01 9.370726923494211236e-04 3.490122280146545734e-04
2.719999999999981810e+01 1.010046475500283366e-03 3.741826447173464886e-04
2.709999999999981668e+01 1.088474759021328727e-03 4.010793577956434683e-04
2.699999999999981526e+01 1.172746707396266465e-03 4.298141124484385154e-04
2.689999999999981384e+01 1.263277857666633176e-03 4.605051643171465285e-04
2.679999999999981242e+01 1.360511741016757516e-03 4.932778298503996336e-04
2.669999999999981100e+01 1.464921544395181166e-03 5.282650128239429555e-04
2.659999999999980957e+01 1.577011936425505622e-03 5.656076617541958007e-04
2.649999999999980815e+01 1.697321123314061769e-03 6.054550884525220769e-04
2.639999999999980673e+01 1.826423029870551757e-03 6.479653818865463866e-04
2.629999999999980531e+01 1.964929584497266801e-03 6.933058547642293032e-04
2.619999999999980389e+01 2.113492955597296840e-03 7.416535746431323359e-04
2.609999999999980247e+01 2.272807891650263992e-03 7.931957560394077393e-04
2.599999999999980105e+01 2.443614142583026751e-03 8.481301050225118453e-04
2.589999999999979963e+01 2.626699362897393260e-03 9.066655530085418122e-04
2.579999999999979821e+01 2.822902060088855296e-03 9.690230268249085685e-04
2.569999999999979678e+01 3.033114729302741844e-03 1.035436470805382349e-03
2.559999999999979536e+01 3.258287005785983573e-03 1.106153189605335032e-03
2.549999999999979394e+01 3.499429063844961951e-03 1.181434389978789365e-03
2.539999999999979252e+01 3.757615296609564341e-03 1.261555660339205766e-03
2.529999999999979110e+01 4.033988032461093345e-03 1.346807835535503411e-03
2.519999999999978968e+01 4.329761436547677027e-03 1.437497800526858598e-03
2.509999999999978826e+01 4.646225401960458329e-03 1.533949129176789220e-03
2.499999999999978684e+01 4.984750039138090803e-03 1.636502963860834211e-03
2.489999999999978542e+01 5.346790427012764260e-03 1.745518989083148873e-03
2.479999999999978400e+01 5.733891799835747621e-03 1.861376956629528720e-03
2.469999999999978257e+01 6.147694617241483174e-03 1.984477541629890793e-03
2.459999999999978115e+01 6.589939749883068354e-03 2.115242945002324040e-03
2.449999999999977973e+01 7.062473664786294257e-03 2.254116620491906139e-03
2.439999999999977831e+01 7.567254273910699498e-03 2.401564146202718030e-03
2.429999999999977689e+01 8.106357445883000459e-03 2.558075208490196827e-03
2.419999999999977547e+01 8.681983440955659895e-03 2.724165846888070702e-03
2.409999999999977405e+01 9.296463683609408266e-03 2.900380171929504633e-03
2.399999999999977263e+01 9.952267974499768091e-03 3.087290553592940065e-03
2.389999999999977121e+01 1.065201259637170439e-02 3.285499142470717400e-03
2.379999999999976978e+01 1.139846882563990034e-02 3.495639527914231898e-03
2.369999999999976836e+01 1.219457045919976682e-02 3.718377788774772635e-03
2.359999999999976694e+01 1.304342170428514185e-02 3.954412457096720748e-03
2.349999999999976552e+01 1.394830496378362400e-02 4.204473365075469225e-03
2.339999999999976410e+01 1.491269132042553729e-02 4.469325426250207560e-03
2.329999999999976268e+01 1.594025050738484550e-02 4.749771516918610201e-03
2.319999999999976126e+01 1.703486098092990217e-02 5.046656903736281181e-03
2.309999999999975984e+01 1.820062073064950686e-02 5.360868888894886920e-03
2.299999999999975842e+01 1.944185903046899422e-02 5.693338291720724011e-03
2.289999999999975699e+01 2.076315077745692628e-02 6.045043246410067642e-03
2.279999999999975557e+01 2.216932748383580037e-02 6.417010152914391988e-03
2.269999999999975415e+01 2.366548878374211129e-02 6.810313955689484278e-03
2.259999999999975273e+01 2.525701181177312377e-02 7.226071481565673332e-03
2.249999999999975131e+01 2.694956615396231631e-02 7.665446027428856300e-03
2.239999999999974989e+01 2.874912986449510918e-02 8.129653613138840620e-03
2.229999999999974847e+01 3.066200454879909956e-02 8.619973247109521605e-03
2.219999999999974705e+01 3.269483081153586740e-02 9.137748415757535395e-03
2.209999999999974563e+01 3.485460433031919991e-02 9.684384402641427886e-03
2.199999999999974420e+01 3.714869531100650074e-02 1.026134967392463085e-02
2.189999999999974278e+01 3.958486664695581164e-02 1.087017812914814301e-02
2.179999999999974136e+01 4.217128996984197131e-02 1.151247230916595775e-02
2.169999999999973994e+01 4.491656316174465896e-02 1.218990401281387637e-02
2.159999999999973852e+01 4.782972905174726064e-02 1.290421558686621895e-02
2.149999999999973710e+01 5.092029698683687294e-02 1.365722457458831349e-02
2.139999999999973568e+01 5.419826162284442639e-02 1.445082346661284711e-02
2.129999999999973426e+01 5.767412162409737975e-02 1.528697847906789267e-02
2.119999999999973284e+01 6.135890501468867914e-02 1.616773625989731747e-02
2.109999999999973141e+01 6.526419395007355961e-02 1.709523280963830966e-02
2.099999999999972999e+01 6.940215146698278104e-02 1.807170874380621683e-02
2.089999999999972857e+01 7.378554375516514774e-02 1.909950178979626101e-02
2.079999999999972715e+01 7.842776497382747403e-02 2.018104406707858442e-02
2.069999999999972573e+01 8.334286317409209111e-02 2.131885294547025689e-02
2.059999999999972431e+01 8.854556767109557358e-02 2.251554210587830215e-02
2.049999999999972289e+01 9.405131689495729863e-02 2.377382913693404723e-02
2.039999999999972147e+01 9.987628599618784964e-02 2.509654620402976960e-02
2.029999999999972005e+01 1.060374169422790142e-01 2.648663972282980922e-02
2.019999999999971863e+01 1.125524488538825613e-01 2.794716948080741212e-02
2.009999999999971720e+01 1.194399446717463870e-01 2.948129920881175509e-02
1.999999999999971578e+01 1.267193241110247948e-01 3.109230281959605990e-02
1.989999999999971436e+01 1.344108985107534682e-01 3.278357470663854217e-02
1.979999999999971294e+01 1.425359033552891230e-01 3.455864833465741720e-02
1.969999999999971152e+01 1.511165324985327962e-01 3.642119967982148515e-02
1.959999999999971010e+01 1.601759741086424549e-01 3.837504009208872469e-02
1.949999999999970868e+01 1.697384538207458715e-01 4.042411500459255208e-02
1.939999999999970726e+01 1.798292743375015101e-01 4.257250584463234677e-02
1.929999999999970584e+01 1.904748466406716856e-01 4.482443749083778184e-02
1.919999999999970441e+01 2.017027158671769460e-01 4.718427385870748586e-02
1.909999999999970299e+01 2.135415897356578718e-01 4.965651443893202843e-02
1.899999999999970157e+01 2.260213922889212634e-01 5.224580692290063666e-02
1.889999999999970015e+01 2.391733154757178237e-01 5.495696545762197849e-02
1.879999999999969873e+01 2.530298758662246628e-01 5.779499573052231109e-02
1.869999999999969731e+01 2.676249406465947556e-01 6.076507587533432758e-02
1.859999999999969589e+01 2.829937590010949688e-01 6.387253820359949097e-02
1.849999999999969447e+01 2.991729828055308404e-01 6.712282554819476443e-02
1.839999999999969305e+01 3.162007263703422999e-01 7.052153101148281311e-02
1.829999999999969162e+01 3.341166119609058072e-01 7.407442128304650431e-02
1.819999999999969020e+01 3.529618027789953039e-01 7.778748404488994295e-02
1.809999999999968878e+01 3.727790520267235119e-01 8.166690304609464102e-02
1.799999999999968736e+01 3.936127538805605508e-01 8.571904706293095866e-02
1.789999999999968594e+01 4.155090185677441372e-01 8.995047351438775762e-02
1.779999999999968452e+01 4.385157046575066664e-01 9.436793093909477681e-02
1.769999999999968310e+01 4.626824478237489546e-01 9.897835772248930741e-02
1.759999999999968168e+01 4.880606728519237270e-01 1.037888447661896307e-01
1.749999999999968026e+01 5.147036424445083913e-01 1.088066442303797093e-01
1.739999999999967883e+01 5.426665187703211268e-01 1.140391953904267425e-01
1.729999999999967741e+01 5.720064116244939489e-01 1.194941663521726649e-01
1.719999999999967599e+01 6.027824212295361805e-01 1.251794595393478926e-01
1.709999999999967457e+01 6.350556756365606237e-01 1.311031812046146439e-01
1.699999999999967315e+01 6.688893665090518414e-01 1.372736126027999104e-01
1.689999999999967173e+01 7.043487864568444001e-01 1.436991964772642849e-01
1.679999999999967031e+01 7.415013726244081838e-01 1.503885668206386972e-01
1.669999999999966889e+01 7.804167375068472579e-01 1.573505556584223197e-01
1.659999999999966747e+01 8.211666975094765730e-01 1.645941976323755385e-01
1.649999999999966604e+01 8.638253168007686833e-01 1.721287221168077974e-01
1.639999999999966462e+01 9.084689323906164349e-01 1.799635554438072382e-01
1.629999999999966320e+01 9.551761682804876807e-01 1.881083273424859759e-01
1.619999999999966178e+01 1.004027979297369644e+00 1.965728615774663401e-01
1.609999999999966036e+01 1.055107681510198292e+00 2.053671691667431909e-01
1.599999999999965894e+01 1.108500979512856643e+00 2.145014359911208979e-01
1.589999999999965752e+01 1.164295985118647847e+00 2.239860273825627912e-01
1.579999999999965610e+01 1.222583225835798482e+00 2.338314865266140630e-01
1.569999999999965468e+01 1.283455613916663074e+00 2.440485265899628997e-01
1.559999999999965326e+01 1.347008482311813360e+00 2.546480285889047290e-01
1.549999999999965183e+01 1.413339612893197206e+00 2.656410392791849762e-01
1.539999999999965041e+01 1.482549277220976514e+00 2.770387764181163059e-01
1.529999999999964899e+01 1.554740225402883924e+00 2.888526194083019805e-01
1.519999999999964757e+01 1.630017659789970486e+00 3.010940944418715182e-01
1.509999999999964615e+01 1.708489147455233503e+00 3.137748192715606455e-01
1.499999999999964473e+01 1.790264613478711686e+00 3.269065004619429171e-01
1.489999999999964331e+01 1.875456373769502028e+00 3.405009595276686785e-01
1.479999999999964189e+01 1.964179115779332241e+00 3.545701989985596825e-01
1.469999999999964047e+01 2.056549869999504843e+00 3.691264092794437901e-01
1.459999999999963904e+01 2.152687971866660277e+00 3.841818931784107827e-01
1.449999999999963762e+01 2.252715013838372915e+00 3.997489941692345949e-01
1.439999999999963620e+01 2.356754793829218375e+00 4.158400475780816841e-01
1.429999999999963478e+01 2.464933269875952959e+00 4.324674379567304827e-01
1.419999999999963336e+01 2.577378442985020168e+00 4.496435885401467991e-01
1.409999999999963194e+01 2.694220213898588234e+00 4.673809428152691514e-01
1.399999999999963052e+01 2.815590395194571993e+00 4.856919562660592660e-01
1.389999999999962910e+01 2.941622656783413170e+00 5.045891115590688258e-01
1.379999999999962768e+01 3.072452471118240602e+00 5.240849682292431089e-01
1.369999999999962625e+01 3.208216982593069755e+00 5.441920877461206008e-01
1.359999999999962483e+01 3.349054853447083424e+00 5.649229564436297757e-01
1.349999999999962341e+01 3.495105999867313074e+00 5.862897960098373273e-01
1.339999999999962199e+01 3.646511567783253138e+00 6.083046671547113204e-01
1.329999999999962057e+01 3.803413830397478268e+00 6.309795303580844061e-01
1.319999999999961915e+01 3.965955976886543777e+00 6.543263980400463309e-01
1.309999999999961773e+01 4.134281990562644005e+00 6.783572260819813460e-01
1.299999999999961631e+01 4.308536514528932493e+00 7.030838209611778300e-01
1.289999999999961489e+01 4.488864704186640076e+00 7.285178007274840661e-01
1.279999999999961346e+01 4.675412037922312969e+00 7.546705794393008260e-01
1.269999999999961204e+01 4.868324102768296413e+00 7.815533451348061211e-01
1.259999999999961062e+01 5.067746254970399988e+00 8.091768629487077202e-01
